"id","confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr","suspectedCount","suspectedCountIncr","provinceName","provinceShortName"
"4550","171","2","162","0","3","2","20200612","6","0","0","0","海南省","海南"
"4551","171","0","162","0","3","0","20200613","6","0","0","0","海南省","海南"
"4552","171","0","163","1","2","-1","20200614","6","0","0","0","海南省","海南"
"4553","171","0","163","0","2","0","20200615","6","0","0","0","海南省","海南"
"4554","171","0","163","0","2","0","20200616","6","0","0","0","海南省","海南"
"4555","171","0","163","0","2","0","20200617","6","0","0","0","海南省","海南"
"4556","171","0","163","0","2","0","20200618","6","0","0","0","海南省","海南"
"4557","171","0","163","0","2","0","20200619","6","0","0","0","海南省","海南"
"4558","171","0","163","0","2","0","20200620","6","0","0","0","海南省","海南"
"4559","171","0","163","0","2","0","20200621","6","0","0","0","海南省","海南"
"4560","171","0","163","0","2","0","20200622","6","0","0","0","海南省","海南"
"4561","171","0","163","0","2","0","20200623","6","0","0","0","海南省","海南"
"4562","171","0","163","0","2","0","20200624","6","0","0","0","海南省","海南"
"4563","171","0","165","2","0","-2","20200625","6","0","0","0","海南省","海南"
"4564","171","0","165","0","0","0","20200626","6","0","0","0","海南省","海南"
"4565","171","0","165","0","0","0","20200627","6","0","0","0","海南省","海南"
"4566","171","0","165","0","0","0","20200628","6","0","0","0","海南省","海南"
"4567","171","0","165","0","0","0","20200629","6","0","0","0","海南省","海南"
"4568","171","0","165","0","0","0","20200630","6","0","0","0","海南省","海南"
"4569","171","0","165","0","0","0","20200701","6","0","0","0","海南省","海南"
"4570","171","0","165","0","0","0","20200702","6","0","0","0","海南省","海南"
"4571","3","3","0","0","3","3","20200123","0","0","0","0","吉林省","吉林"
"4572","4","1","0","0","4","1","20200124","0","0","0","0","吉林省","吉林"
"4573","4","0","0","0","4","0","20200125","0","0","0","0","吉林省","吉林"
"4574","6","2","0","0","6","2","20200126","0","0","0","0","吉林省","吉林"
"4575","8","2","0","0","8","2","20200127","0","0","0","0","吉林省","吉林"
"4576","9","1","0","0","9","1","20200128","0","0","0","0","吉林省","吉林"
"4577","14","5","0","0","14","5","20200129","0","0","0","0","吉林省","吉林"
"4578","14","0","1","1","13","-1","20200130","0","0","0","0","吉林省","吉林"
"4579","17","3","1","0","16","3","20200131","0","0","0","0","吉林省","吉林"
"4580","23","6","1","0","22","6","20200201","0","0","0","0","吉林省","吉林"
"4581","31","8","1","0","30","8","20200202","0","0","0","0","吉林省","吉林"
"4582","42","11","1","0","41","11","20200203","0","0","0","0","吉林省","吉林"
"4583","54","12","1","0","53","12","20200204","0","0","0","0","吉林省","吉林"
"4584","59","5","2","1","57","4","20200205","0","0","0","0","吉林省","吉林"
"4585","65","6","4","2","60","3","20200206","1","1","0","0","吉林省","吉林"
"4586","69","4","4","0","64","4","20200207","1","0","0","0","吉林省","吉林"
"4587","78","9","5","1","72","8","20200208","1","0","0","0","吉林省","吉林"
"4588","80","2","12","7","67","-5","20200209","1","0","0","0","吉林省","吉林"
"4589","81","1","13","1","67","0","20200210","1","0","0","0","吉林省","吉林"
"4590","83","2","18","5","64","-3","20200211","1","0","0","0","吉林省","吉林"
"4591","84","1","22","4","61","-3","20200212","1","0","0","0","吉林省","吉林"
"4592","86","2","25","3","60","-1","20200213","1","0","0","0","吉林省","吉林"
"4593","88","2","25","0","62","2","20200214","1","0","0","0","吉林省","吉林"
"4594","89","1","28","3","60","-2","20200215","1","0","0","0","吉林省","吉林"
"4595","89","0","30","2","58","-2","20200216","1","0","0","0","吉林省","吉林"
"4596","89","0","34","4","54","-4","20200217","1","0","0","0","吉林省","吉林"
"4597","90","1","36","2","53","-1","20200218","1","0","0","0","吉林省","吉林"
"4598","91","1","40","4","50","-3","20200219","1","0","0","0","吉林省","吉林"
"4599","91","0","44","4","46","-4","20200220","1","0","0","0","吉林省","吉林"
"4600","91","0","46","2","44","-2","20200221","1","0","0","0","吉林省","吉林"
"4601","91","0","52","6","38","-6","20200222","1","0","0","0","吉林省","吉林"
"4602","93","2","54","2","38","0","20200223","1","0","0","0","吉林省","吉林"
"4603","93","0","60","6","32","-6","20200224","1","0","0","0","吉林省","吉林"
"4604","93","0","63","3","29","-3","20200225","1","0","0","0","吉林省","吉林"
"4605","93","0","65","2","27","-2","20200226","1","0","0","0","吉林省","吉林"
"4606","93","0","68","3","24","-3","20200227","1","0","0","0","吉林省","吉林"
"4607","93","0","73","5","19","-5","20200228","1","0","0","0","吉林省","吉林"
"4608","93","0","75","2","17","-2","20200229","1","0","0","0","吉林省","吉林"
"4609","93","0","78","3","14","-3","20200301","1","0","0","0","吉林省","吉林"
"4610","93","0","83","5","9","-5","20200302","1","0","0","0","吉林省","吉林"
"4611","93","0","84","1","8","-1","20200303","1","0","0","0","吉林省","吉林"
"4612","93","0","86","2","6","-2","20200304","1","0","0","0","吉林省","吉林"
"4613","93","0","88","2","4","-2","20200305","1","0","0","0","吉林省","吉林"
"4614","93","0","90","2","2","-2","20200306","1","0","0","0","吉林省","吉林"
"4615","93","0","90","0","2","0","20200307","1","0","0","0","吉林省","吉林"
"4616","93","0","90","0","2","0","20200308","1","0","0","0","吉林省","吉林"
"4617","93","0","91","1","1","-1","20200309","1","0","0","0","吉林省","吉林"
"4618","93","0","91","0","1","0","20200310","1","0","0","0","吉林省","吉林"
"4619","93","0","91","0","1","0","20200311","1","0","0","0","吉林省","吉林"
"4620","93","0","91","0","1","0","20200312","1","0","0","0","吉林省","吉林"
"4621","93","0","91","0","1","0","20200313","1","0","0","0","吉林省","吉林"
"4622","93","0","91","0","1","0","20200314","1","0","0","0","吉林省","吉林"
"4623","93","0","92","1","0","-1","20200315","1","0","0","0","吉林省","吉林"
"4624","93","0","92","0","0","0","20200316","1","0","0","0","吉林省","吉林"
"4625","93","0","92","0","0","0","20200317","1","0","0","0","吉林省","吉林"
"4626","93","0","92","0","0","0","20200318","1","0","0","0","吉林省","吉林"
"4627","93","0","92","0","0","0","20200319","1","0","0","0","吉林省","吉林"
"4628","93","0","92","0","0","0","20200320","1","0","0","0","吉林省","吉林"
"4629","93","0","92","0","0","0","20200321","1","0","0","0","吉林省","吉林"
"4630","93","0","92","0","0","0","20200322","1","0","0","0","吉林省","吉林"
"4631","93","0","92","0","0","0","20200323","1","0","0","0","吉林省","吉林"
"4632","94","1","92","0","1","1","20200324","1","0","1","1","吉林省","吉林"
"4633","95","1","92","0","2","1","20200325","1","0","1","0","吉林省","吉林"
"4634","95","0","92","0","2","0","20200326","1","0","1","0","吉林省","吉林"
"4635","97","2","92","0","4","2","20200327","1","0","1","0","吉林省","吉林"
"4636","98","1","92","0","5","1","20200328","1","0","2","1","吉林省","吉林"
"4637","98","0","92","0","5","0","20200329","1","0","2","0","吉林省","吉林"
"4638","98","0","92","0","5","0","20200330","1","0","2","0","吉林省","吉林"
"4639","98","0","92","0","5","0","20200331","1","0","2","0","吉林省","吉林"
"4640","98","0","92","0","5","0","20200401","1","0","2","0","吉林省","吉林"
"4641","98","0","92","0","5","0","20200402","1","0","0","-2","吉林省","吉林"
"4642","98","0","92","0","5","0","20200403","1","0","0","0","吉林省","吉林"
"4643","98","0","92","0","5","0","20200404","1","0","2","2","吉林省","吉林"
"4644","98","0","92","0","5","0","20200405","1","0","2","0","吉林省","吉林"
"4645","98","0","92","0","5","0","20200406","1","0","2","0","吉林省","吉林"
"4646","98","0","92","0","5","0","20200407","1","0","0","-2","吉林省","吉林"
"4647","98","0","93","1","4","-1","20200408","1","0","0","0","吉林省","吉林"
"4648","98","0","95","2","2","-2","20200409","1","0","2","2","吉林省","吉林"
"4649","98","0","96","1","1","-1","20200410","1","0","2","0","吉林省","吉林"
"4650","99","1","96","0","2","1","20200411","1","0","2","0","吉林省","吉林"
"4651","100","1","96","0","3","1","20200412","1","0","3","1","吉林省","吉林"
"4652","100","0","96","0","3","0","20200413","1","0","3","0","吉林省","吉林"
"4653","102","2","96","0","5","2","20200414","1","0","3","0","吉林省","吉林"
"4654","102","0","96","0","5","0","20200415","1","0","3","0","吉林省","吉林"
"4655","102","0","97","1","4","-1","20200416","1","0","3","0","吉林省","吉林"
"4656","102","0","97","0","4","0","20200417","1","0","3","0","吉林省","吉林"
"4657","104","2","97","0","6","2","20200418","1","0","3","0","吉林省","吉林"
"4658","104","0","97","0","6","0","20200419","1","0","3","0","吉林省","吉林"
"4659","106","2","97","0","8","2","20200420","1","0","3","0","吉林省","吉林"
"4660","106","0","98","1","7","-1","20200421","1","0","3","0","吉林省","吉林"
"4661","107","1","98","0","8","1","20200422","1","0","3","0","吉林省","吉林"
"4662","108","1","99","1","8","0","20200423","1","0","3","0","吉林省","吉林"
"4663","109","1","99","0","9","1","20200424","1","0","3","0","吉林省","吉林"
"4664","109","0","99","0","9","0","20200425","1","0","3","0","吉林省","吉林"
"4665","110","1","99","0","10","1","20200426","1","0","3","0","吉林省","吉林"
"4666","110","0","99","0","10","0","20200427","1","0","3","0","吉林省","吉林"
"4667","110","0","99","0","10","0","20200428","1","0","3","0","吉林省","吉林"
"4668","111","1","99","0","11","1","20200429","1","0","3","0","吉林省","吉林"
"4669","111","0","101","2","9","-2","20200430","1","0","3","0","吉林省","吉林"
"4670","112","1","102","1","9","0","20200501","1","0","3","0","吉林省","吉林"
"4671","112","0","103","1","8","-1","20200502","1","0","19","16","吉林省","吉林"
"4672","112","0","103","0","8","0","20200503","1","0","19","0","吉林省","吉林"
"4673","112","0","103","0","8","0","20200504","1","0","19","0","吉林省","吉林"
"4674","112","0","103","0","8","0","20200505","1","0","19","0","吉林省","吉林"
"4675","112","0","103","0","8","0","20200506","1","0","19","0","吉林省","吉林"
"4676","113","1","104","1","8","0","20200507","1","0","19","0","吉林省","吉林"
"4677","113","0","105","1","7","-1","20200508","1","0","19","0","吉林省","吉林"
"4678","124","11","105","0","18","11","20200509","1","0","19","0","吉林省","吉林"
"4679","127","3","105","0","21","3","20200510","1","0","19","0","吉林省","吉林"
"4680","127","0","105","0","21","0","20200511","1","0","19","0","吉林省","吉林"
"4681","133","6","108","3","24","3","20200512","1","0","19","0","吉林省","吉林"
"4682","134","1","108","0","25","1","20200513","1","0","19","0","吉林省","吉林"
"4683","138","4","108","0","29","4","20200514","1","0","19","0","吉林省","吉林"
"4684","140","2","108","0","31","2","20200515","1","0","19","0","吉林省","吉林"
"4685","144","4","113","5","29","-2","20200516","2","1","19","0","吉林省","吉林"
"4686","146","2","122","9","22","-7","20200517","2","0","19","0","吉林省","吉林"
"4687","151","5","123","1","26","4","20200518","2","0","19","0","吉林省","吉林"
"4688","152","1","125","2","25","-1","20200519","2","0","19","0","吉林省","吉林"
"4689","152","0","125","0","25","0","20200520","2","0","19","0","吉林省","吉林"
"4690","154","2","127","2","25","0","20200521","2","0","19","0","吉林省","吉林"
"4691","154","0","128","1","24","-1","20200522","2","0","19","0","吉林省","吉林"
"4692","155","1","128","0","25","1","20200523","2","0","19","0","吉林省","吉林"
"4693","155","0","128","0","25","0","20200524","2","0","19","0","吉林省","吉林"
"4694","155","0","128","0","25","0","20200525","2","0","19","0","吉林省","吉林"
"4695","155","0","128","0","25","0","20200526","2","0","19","0","吉林省","吉林"
"4696","155","0","133","5","20","-5","20200527","2","0","19","0","吉林省","吉林"
"4697","155","0","136","3","17","-3","20200528","2","0","19","0","吉林省","吉林"
"4698","155","0","142","6","11","-6","20200529","2","0","19","0","吉林省","吉林"
"4699","155","0","144","2","9","-2","20200530","2","0","19","0","吉林省","吉林"
"4700","155","0","144","0","9","0","20200531","2","0","19","0","吉林省","吉林"
"4701","155","0","147","3","6","-3","20200601","2","0","19","0","吉林省","吉林"
"4702","155","0","147","0","6","0","20200602","2","0","19","0","吉林省","吉林"
"4703","155","0","148","1","5","-1","20200603","2","0","19","0","吉林省","吉林"
"4704","155","0","149","1","4","-1","20200604","2","0","19","0","吉林省","吉林"
"4705","155","0","150","1","3","-1","20200605","2","0","19","0","吉林省","吉林"
"4706","155","0","151","1","2","-1","20200606","2","0","19","0","吉林省","吉林"
"4707","155","0","153","2","0","-2","20200607","2","0","19","0","吉林省","吉林"
"4708","155","0","153","0","0","0","20200608","2","0","19","0","吉林省","吉林"
"4709","155","0","153","0","0","0","20200609","2","0","19","0","吉林省","吉林"
"4710","155","0","153","0","0","0","20200610","2","0","19","0","吉林省","吉林"
